,Actual,Predicted
0,[0.8  3.2  1.77],[0.8819686 3.1333115 1.7082726]
1,[1.6  2.4  1.17],[1.5637977 2.4021885 1.192665 ]
2,[4.   0.8  0.77],[4.003892   0.8187417  0.76284665]
3,[4.   0.8  0.37],[4.041953  0.7843171 0.2688911]
4,[2.4  4.   2.17],[2.4345865 4.029793  2.339014 ]
5,[2.4  4.   0.77],[2.418247  4.0417466 0.8163065]
6,[1.6  4.   1.37],[1.5933936 4.022415  1.4102931]
7,[1.6  1.6  0.97],[1.6176875 1.5962679 1.0333728]
8,[0.8  2.4  1.77],[0.6824986 2.415555  1.8779773]
9,[1.6  1.6  1.77],[1.625737  1.5796726 1.8493732]
10,[0.8  0.8  1.97],[0.8200332 0.8217383 1.9194459]
11,[2.4  4.   1.57],[2.4039936 4.0525928 1.6803353]
12,[0.8  3.2  0.77],[0.89909685 3.068144   0.7987414 ]
13,[2.4  4.   1.17],[2.4182312 4.0314913 1.1788275]
14,[4.   0.8  1.17],[3.9209805  0.8282306  0.59625566]
15,[3.2  4.   1.57],[3.225651  4.037245  1.8057439]
16,[3.2  4.   0.77],[3.209374   4.0651016  0.95919186]
17,[4.   3.2  1.97],[4.0532155 3.2284453 2.1996515]
18,[0.8  2.4  0.37],[0.7776692 2.411887  0.3460124]
19,[1.6  4.   1.37],[1.6053512 4.01608   1.4958384]
20,[2.4  4.   1.97],[2.4458401 4.054474  2.0762346]
21,[3.2  1.6  0.57],[3.214832   1.58495    0.59884197]
22,[1.6  0.8  1.57],[1.5901248 0.8099514 1.6585243]
23,[3.2  1.6  1.37],[3.210831  1.5605032 1.307775 ]
24,[0.8  4.   0.77],[0.78617895 4.00269    0.7396897 ]
25,[3.2  0.8  1.97],[3.1981556 0.7860047 1.720887 ]
26,[3.2  0.8  1.17],[3.2058527 0.8117207 1.1458391]
27,[3.2  2.4  0.57],[3.1756873 2.389687  0.5771551]
28,[2.4  2.4  0.77],[2.4196277 2.4086618 0.7224879]
29,[2.4  3.2  1.77],[2.4159596 3.2613533 1.8381109]
30,[4.   1.6  1.97],[3.882133  1.6070242 1.8894868]
31,[0.8  0.8  0.17],[0.78305376 0.8063364  0.15188585]
32,[0.8  4.   1.97],[0.7428474 4.0584393 1.9493964]
33,[4.   4.   1.77],[4.04533   4.055312  2.0657148]
34,[2.4  3.2  0.57],[2.423906   3.238378   0.45476383]
35,[2.4  4.   1.97],[2.4647677 4.021261  2.1105144]
36,[4.   4.   0.97],[4.029559  4.049632  1.3675027]
37,[0.8  3.2  2.17],[0.7813964 3.1700826 2.1074216]
38,[1.6  3.2  1.57],[1.5564277 3.1950457 1.6697693]
39,[0.8  2.4  1.97],[0.7669344 2.4185328 1.8937545]
40,[4.   3.2  1.57],[4.047711  3.25929   1.8192332]
41,[0.8  4.   0.77],[0.7839432  4.005023   0.72652704]
42,[1.6  2.4  1.97],[1.5981634 2.4183702 1.8950603]
43,[0.8  0.8  2.17],[0.797287  0.8142086 2.0848053]
44,[2.4  0.8  1.97],[2.4006143 0.7980228 1.8136712]
45,[2.4  1.6  2.17],[2.4083974 1.6574397 2.0725787]
46,[2.4  1.6  1.97],[2.4231837 1.6100256 1.9175383]
47,[3.2  0.8  0.57],[3.2431428  0.7815256  0.52010363]
48,[2.4  3.2  0.17],[2.4059281  3.1867974  0.25565708]
49,[3.2  1.6  1.37],[3.2021317 1.5922074 1.4735392]
50,[0.8  2.4  1.57],[0.7630145 2.4058166 1.5883179]
51,[3.2  2.4  1.97],[3.2426865 2.4316666 2.0206614]
52,[1.6  0.8  1.97],[1.6007715 0.8086981 1.8616312]
53,[0.8  1.6  1.77],[0.8196503 1.6114175 1.9295855]
54,[4.   1.6  0.37],[3.9636188  1.6036441  0.41573256]
55,[3.2  4.   1.17],[3.1783152 3.9992046 1.6904907]
56,[1.6  4.   0.17],[1.5965523  3.9971118  0.34870034]
57,[1.6  0.8  0.97],[1.6030669 0.811301  1.0240482]
58,[2.4  1.6  0.77],[2.4321914  1.6387813  0.68964726]
59,[1.6  2.4  1.77],[1.5731761 2.4068232 1.7240981]
60,[1.6  0.8  1.37],[1.6068054 0.7941584 1.4794892]
61,[3.2  2.4  2.17],[3.2158682 2.4512951 2.2117808]
62,[2.4  0.8  0.17],[2.3987887  0.8080896  0.22961687]
63,[1.6  1.6  2.17],[1.6107621 1.5718195 2.1412034]
64,[1.6  2.4  1.17],[1.4316344 2.42846   1.8117284]
65,[2.4  0.8  1.97],[2.412177  0.7990641 1.8905447]
66,[4.   0.8  1.57],[4.037578  0.7692226 1.5804913]
67,[2.4  1.6  1.17],[2.4076266 1.7045593 1.1514561]
68,[0.8  0.8  1.97],[0.8005207 0.828038  1.9192531]
69,[1.6  2.4  1.37],[1.5745695 2.3695974 1.5305026]
70,[0.8  1.6  1.97],[0.8201984 1.6063795 2.115708 ]
71,[0.8  1.6  1.97],[0.7888864 1.6434007 1.8781183]
72,[4.   1.6  0.37],[4.0128984 1.6111515 0.2623254]
73,[2.4  1.6  0.37],[2.4246686 1.7512937 0.6092541]
74,[2.4  2.4  1.17],[2.4210484 2.4067698 0.9134898]
75,[2.4  4.   1.37],[2.4131234 4.047696  1.3820009]
76,[3.2  1.6  1.17],[3.0646312 1.7384207 1.3712422]
77,[1.6  0.8  0.17],[1.5796655  0.7947082  0.16972502]
78,[1.6  2.4  0.77],[1.5527406 2.413591  0.7968359]
79,[3.2  2.4  1.57],[3.1848505 2.4482236 1.4818411]
80,[0.8  4.   0.97],[0.78461194 4.0226154  0.8988372 ]
81,[3.2  4.   0.37],[3.2171137 4.0494804 0.5218573]
82,[2.4  1.6  0.77],[2.4122212 1.5829213 0.8505038]
83,[4.   1.6  0.97],[3.9797075 1.6430914 1.0481974]
84,[0.8  1.6  0.57],[0.7985982 1.6073387 0.683552 ]
85,[1.6  2.4  0.97],[1.5353061 2.4249005 1.0698144]
86,[3.2  1.6  0.57],[3.216131  1.5645766 0.6013564]
87,[1.6  4.   1.37],[1.5932735 4.027322  1.5201769]
88,[2.4  1.6  2.17],[2.425244  1.6367643 2.0711224]
89,[1.6  2.4  0.17],[1.5185298  2.4008436  0.31513858]
90,[2.4  0.8  1.57],[2.4068158 0.8151579 1.5076311]
91,[2.4  0.8  1.37],[2.4088304 0.8029042 1.342331 ]
92,[3.2  2.4  0.57],[3.1868417  2.387388   0.48316455]
93,[3.2  4.   0.77],[3.2165058  4.060792   0.92053425]
94,[1.6  4.   0.77],[1.6143423  3.9985917  0.78308743]
95,[2.4  0.8  0.97],[2.4182162  0.7947342  0.86718994]
96,[1.6  1.6  2.17],[1.6056126 1.6203716 2.2309587]
97,[0.8  4.   0.17],[0.8036225  4.0318336  0.16764264]
98,[3.2  4.   0.37],[3.2181942 4.0612884 0.5404603]
99,[0.8  0.8  0.57],[0.7955615  0.82195044 0.7210809 ]
100,[2.4  2.4  2.17],[2.4141247 2.3995297 1.6110935]
101,[2.4  4.   0.57],[2.4176605 4.04046   0.6840042]
102,[4.   4.   1.37],[4.0263734 4.0696783 1.5729592]
103,[4.   2.4  0.37],[2.717991   2.459902   0.41772422]
104,[4.   0.8  1.97],[4.000963   0.82072353 1.8936229 ]
105,[2.4  1.6  0.97],[2.413909  1.6078343 0.8399899]
106,[0.8  1.6  1.77],[0.79184586 1.6213069  1.5778881 ]
107,[2.4  3.2  0.57],[2.4156542 3.230236  0.3587913]
108,[1.6  2.4  1.17],[1.5687096 2.4177403 1.0829535]
109,[1.6  2.4  0.97],[1.5511594 2.4324453 1.1070383]
110,[1.6  3.2  0.17],[1.772463   3.022541   0.40998673]
111,[2.4  3.2  1.17],[2.4172456 3.2198763 0.904469 ]
112,[3.2  3.2  0.77],[3.218012   3.2443013  0.95600677]
113,[2.4  4.   0.37],[2.4222534  4.0314827  0.43607908]
114,[1.6  4.   1.17],[1.5986072 3.9900346 0.9649465]
115,[0.8  2.4  0.17],[0.8286958  2.4355724  0.31714028]
116,[3.2  0.8  0.17],[3.1987412  0.8108649  0.20590612]
117,[2.4  2.4  0.17],[2.4515076 2.4125006 0.       ]
118,[2.4  3.2  0.57],[2.4084702  3.2284262  0.41754472]
119,[4.   2.4  0.37],[4.076061  2.427765  0.4107263]
120,[1.6  3.2  1.77],[1.5668314 3.2050695 1.666934 ]
121,[1.6  3.2  0.37],[1.6097846 3.191131  0.5182447]
122,[3.2  2.4  0.37],[3.1963956  2.3995855  0.27899718]
123,[4.   0.8  0.57],[4.003168   0.80469036 0.37675828]
124,[4.   3.2  0.57],[4.04678    3.251947   0.80738515]
125,[3.2  1.6  0.77],[3.22812   1.5428662 0.8283889]
126,[0.8  1.6  0.77],[0.80112576 1.6121066  0.82378125]
127,[0.8  0.8  2.17],[0.80637634 0.818323   2.1154795 ]
128,[1.6  1.6  1.57],[1.5923249 1.5954747 1.6184212]
129,[1.6  3.2  0.57],[1.6340516  3.1847677  0.62194884]
130,[4.   3.2  0.37],[4.0319247 3.238399  0.5416993]
131,[2.4  4.   1.57],[2.4218285 4.0494175 1.7566988]
132,[3.2  2.4  0.37],[3.2688434 2.4068506 0.2465614]
133,[0.8  0.8  1.57],[0.7819309 0.8278197 1.2632184]
134,[3.2  3.2  0.37],[3.2169654  3.2160423  0.43997103]
